PLAYER,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
Mikki Moore,2000-02-25,24-113,DET,HOME,GSW,W (+32),0,13:15,1.000,1.000,0.0,18.2,11.5,22.2,3.8,8.7,0.0,13.4,205,87,10.3,18.4
Mikki Moore,2000-02-27,24-115,DET,HOME,CHI,W (+3),0,11:17,.333,.333,0.0,11.2,5.4,0.0,0.0,0.0,0.0,12.7,74,109,-1.0,-17.2
Mikki Moore,2000-02-29,24-117,DET,AWAY,IND,L (-10),0,23:26,.727,.667,7.8,14.6,10.9,6.5,2.1,6.0,12.7,14.0,139,118,9.4,2.0
Mikki Moore,2000-03-01,24-118,DET,HOME,UTA,L (-13),0,16:48,.765,.800,6.9,22.3,14.3,40.9,0.0,0.0,0.0,16.2,164,116,8.8,10.8
Mikki Moore,2000-03-04,24-121,DET,AWAY,WAS,L (-6),0,18:45,.500,.500,0.0,25.3,12.6,9.2,0.0,3.4,25.0,19.3,75,105,2.4,-5.4
Mikki Moore,2000-03-08,24-125,DET,HOME,DEN,W (+14),0,21:25,.705,.625,16.7,33.6,24.4,0.0,0.0,3.6,0.0,21.4,155,113,12.9,-0.7
Mikki Moore,2000-03-10,24-127,DET,HOME,VAN,W (+14),0,15:00,.750,.750,8.4,8.6,8.5,19.2,3.4,5.5,33.3,17.7,108,100,4.1,-0.5
Mikki Moore,2000-03-11,24-128,DET,HOME,POR,L (-5),0,15:12,.945,1.000,8.0,17.3,12.5,0.0,0.0,11.6,0.0,15.8,196,111,8.4,10.5
Mikki Moore,2000-03-13,24-130,DET,HOME,BOS,W (+9),0,18:59,.935,1.000,0.0,21.5,12.8,0.0,2.5,0.0,0.0,13.6,183,110,10.1,5.3
Mikki Moore,2000-03-15,24-132,DET,HOME,ORL,W (+22),0,17:27,.687,.000,7.2,7.6,7.4,0.0,0.0,4.9,45.2,15.4,86,93,1.4,-6.5
Mikki Moore,2000-03-17,24-134,DET,HOME,LAL,L (-28),0,14:55,1.020,1.000,12.8,0.0,6.8,0.0,0.0,0.0,0.0,16.3,210,116,9.9,12.0
Mikki Moore,2000-03-19,24-136,DET,AWAY,VAN,W (+2),0,12:05,.750,.750,11.8,0.0,6.2,0.0,4.4,6.8,20.0,19.2,118,111,5.0,0.6
Mikki Moore,2000-03-21,24-138,DET,AWAY,SEA,W (+10),0,11:10,.500,.500,0.0,17.5,9.9,0.0,0.0,12.6,33.3,11.7,67,92,1.2,-3.1
