PLAYER,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
Justin Wright-Foreman,2010-10-29,23-162,TOR,HOME,CLE,W (+20),0,4:16,,,0.0,0.0,0.0,0.0,0.0,17.3,100.0,10.3,0,83,-0.3,-5.2
Justin Wright-Foreman,2010-11-05,23-169,TOR,AWAY,LAL,L (-5),0,8:32,,,13.1,60.8,35.2,13.7,0.0,0.0,100.0,4.8,64,113,1.6,-0.7
Justin Wright-Foreman,2010-11-06,23-170,TOR,AWAY,POR,L (-13),0,16:49,.578,.500,0.0,7.0,3.3,0.0,9.7,0.0,9.5,27.8,115,96,8.3,10.8
Justin Wright-Foreman,2010-11-10,23-174,TOR,HOME,CHA,L (-5),0,21:00,.605,.571,10.9,14.3,12.4,16.4,2.5,4.2,0.0,15.6,142,108,10.0,9.0
Justin Wright-Foreman,2010-11-12,23-176,TOR,AWAY,ORL,W (+4),0,24:10,.470,.500,5.1,17.5,10.9,11.7,2.1,7.9,11.8,15.4,101,108,6.9,3.3
Justin Wright-Foreman,2010-11-13,23-177,TOR,AWAY,MIA,L (-9),0,19:55,.184,.200,0.0,5.7,2.9,22.5,0.0,7.0,8.4,27.1,54,120,-1.0,-11.6
Justin Wright-Foreman,2010-11-16,23-180,TOR,AWAY,WAS,L (-15),0,10:00,1.000,1.000,9.4,15.0,11.6,0.0,0.0,0.0,50.0,8.7,95,122,1.3,-8.1
Justin Wright-Foreman,2010-11-28,23-192,TOR,HOME,ATL,L (-18),0,6:38,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,99,115,1.0,-4.1
Justin Wright-Foreman,2010-12-01,23-195,TOR,HOME,WAS,W (+19),0,5:29,,,0.0,0.0,0.0,0.0,0.0,11.8,,0.0,0,106,0.3,-0.2
Justin Wright-Foreman,2010-12-05,23-199,TOR,HOME,NYK,L (-17),0,1:33,,,0.0,0.0,0.0,77.4,0.0,0.0,,0.0,220,134,0.7,17.0
Justin Wright-Foreman,2010-12-06,23-200,TOR,AWAY,IND,L (-24),0,8:59,1.000,1.000,9.5,0.0,5.8,29.2,5.2,0.0,50.0,8.6,122,117,3.4,7.1
Justin Wright-Foreman,2010-12-10,23-204,TOR,HOME,DEN,L (-7),0,14:32,.694,.500,7.7,0.0,4.6,0.0,3.4,0.0,0.0,8.5,164,125,4.3,-0.5
Justin Wright-Foreman,2010-12-11,23-205,TOR,AWAY,DET,W (+4),0,17:02,.515,.333,20.1,0.0,7.9,13.7,11.9,3.9,20.5,13.6,122,104,8.8,12.4
Justin Wright-Foreman,2010-12-14,23-208,TOR,AWAY,CHA,L (-6),0,2:48,,,0.0,0.0,0.0,47.6,0.0,0.0,100.0,29.5,21,115,-1.3,-30.3
Justin Wright-Foreman,2010-12-15,23-209,TOR,HOME,CHI,L (-17),0,17:04,.625,.625,0.0,0.0,0.0,17.4,3.2,0.0,20.0,13.6,109,124,3.6,0.1
Justin Wright-Foreman,2010-12-19,23-213,TOR,HOME,LAL,L (-10),0,13:18,1.000,1.000,25.2,0.0,13.4,0.0,0.0,0.0,25.0,12.8,148,132,5.4,0.4
Justin Wright-Foreman,2010-12-22,23-216,TOR,HOME,DET,L (-22),0,16:32,.750,.750,10.4,38.2,26.4,22.1,0.0,0.0,20.0,14.5,125,118,7.0,4.1
Justin Wright-Foreman,2010-12-27,23-221,TOR,AWAY,MEM,L (-11),0,0:49,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,110,0.0,-4.2
Justin Wright-Foreman,2010-12-28,23-222,TOR,AWAY,DAL,W (+8),0,25:33,.000,.000,0.0,17.5,9.8,22.8,0.0,0.0,33.3,5.9,59,95,1.6,-3.2
Justin Wright-Foreman,2010-12-31,23-225,TOR,AWAY,HOU,L (-9),0,11:49,.400,.400,0.0,18.1,8.1,12.7,0.0,0.0,16.7,20.0,78,116,1.2,-8.8
Justin Wright-Foreman,2011-01-02,23-227,TOR,HOME,BOS,L (-14),0,7:05,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,109,109,0.6,-6.9
Justin Wright-Foreman,2011-01-04,23-229,TOR,AWAY,CHI,L (-20),0,14:12,.266,.000,8.7,8.9,8.8,9.7,0.0,0.0,51.5,12.6,51,123,-0.8,-13.0
Justin Wright-Foreman,2011-01-05,23-230,TOR,AWAY,CLE,W (+15),0,31:15,.794,.778,21.3,18.6,20.0,19.6,1.7,0.0,0.0,13.7,181,118,19.9,9.9
Justin Wright-Foreman,2011-01-07,23-232,TOR,AWAY,BOS,L (-20),0,12:45,.000,.000,18.8,0.0,10.2,9.4,8.4,6.4,0.0,7.5,86,122,3.4,3.2
Justin Wright-Foreman,2011-01-09,23-234,TOR,HOME,SAC,W (+6),0,4:41,,,0.0,0.0,0.0,0.0,10.5,0.0,100.0,19.1,0,101,-1.4,-17.6
Justin Wright-Foreman,2011-01-14,23-239,TOR,HOME,DET,L (-6),0,20:05,.717,.750,0.0,10.6,5.4,23.3,0.0,0.0,17.0,13.8,126,121,6.3,1.2
Justin Wright-Foreman,2011-01-15,23-240,TOR,AWAY,WAS,L (-3),0,25:18,.250,.250,4.3,8.8,6.5,10.0,2.1,2.6,20.0,9.4,68,107,2.2,-6.3
Justin Wright-Foreman,2011-01-17,23-242,TOR,AWAY,NOH,L (-4),1,27:58,.590,.625,4.3,17.5,11.6,0.0,2.1,0.0,9.7,17.9,106,98,8.4,2.9
Justin Wright-Foreman,2011-01-19,23-244,TOR,AWAY,SAS,L (-9),1,28:31,.347,.250,11.7,11.5,11.6,19.6,3.6,2.5,14.8,10.5,99,109,8.3,4.5
Justin Wright-Foreman,2011-01-21,23-246,TOR,AWAY,ORL,L (-40),0,26:32,.429,.429,16.8,18.1,17.4,15.3,4.1,0.0,30.0,17.7,80,118,7.7,0.7
Justin Wright-Foreman,2011-01-22,23-247,TOR,AWAY,MIA,L (-17),1,27:36,.286,.286,4.3,0.0,2.3,5.0,3.8,3.2,12.5,13.6,66,127,2.2,-6.0
Justin Wright-Foreman,2011-01-24,23-249,TOR,HOME,MEM,L (-2),1,40:43,.628,.714,9.1,14.4,12.1,3.5,0.0,2.9,10.2,10.9,121,112,11.1,-0.2
Justin Wright-Foreman,2011-01-26,23-251,TOR,HOME,PHI,L (-13),1,26:01,.364,.364,10.5,0.0,4.9,12.5,8.3,0.0,21.4,25.9,72,115,5.3,-4.4
Justin Wright-Foreman,2011-01-28,23-253,TOR,HOME,MIL,L (-6),1,12:29,1.000,1.000,0.0,25.0,10.6,0.0,0.0,0.0,0.0,7.3,200,120,3.6,-0.1
Justin Wright-Foreman,2011-01-29,23-254,TOR,AWAY,MIN,L (-16),0,7:40,.644,.667,28.9,15.3,23.6,0.0,0.0,0.0,0.0,19.3,141,108,5.7,12.2
Justin Wright-Foreman,2011-01-31,23-256,TOR,AWAY,IND,L (-11),0,22:58,.286,.286,7.9,10.2,8.9,0.0,8.2,3.4,12.5,14.3,65,90,4.4,0.5
Justin Wright-Foreman,2011-02-02,23-258,TOR,AWAY,ATL,L (-13),0,12:35,,,17.0,0.0,10.0,22.4,4.5,7.3,,0.0,205,107,4.5,12.3
Justin Wright-Foreman,2011-02-04,23-260,TOR,HOME,MIN,W (+11),0,16:09,1.000,1.000,8.5,6.6,7.4,7.4,3.1,5.4,33.3,8.3,129,106,5.4,3.6
Justin Wright-Foreman,2011-02-08,23-264,TOR,AWAY,MIL,L (-18),0,10:23,,,0.0,10.5,4.9,0.0,5.2,0.0,100.0,4.5,0,96,0.3,-6.5
Justin Wright-Foreman,2011-02-09,23-265,TOR,HOME,SAS,L (-11),0,0:08,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,131,0.0,-7.1
Justin Wright-Foreman,2011-02-11,23-267,TOR,HOME,POR,L (-6),0,4:56,.532,1.000,0.0,0.0,0.0,0.0,11.4,18.4,34.7,28.7,48,90,1.6,9.4
Justin Wright-Foreman,2011-02-22,23-278,TOR,AWAY,CHA,L (-13),0,2:57,1.025,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,214,127,4.4,32.9
Justin Wright-Foreman,2011-02-25,23-281,TOR,HOME,PHO,L (-18),0,5:53,,,0.0,22.1,11.2,0.0,8.6,13.4,100.0,15.8,0,91,0.0,-1.0
Justin Wright-Foreman,2011-03-09,23-293,TOR,HOME,UTA,L (-2),0,2:52,1.136,,0.0,44.1,22.6,0.0,0.0,0.0,0.0,14.0,250,108,2.3,15.1
Justin Wright-Foreman,2011-03-21,23-305,TOR,AWAY,DEN,L (-33),0,10:16,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,124,0.0,-7.1
Justin Wright-Foreman,2011-04-02,23-317,TOR,AWAY,CHI,L (-7),0,3:02,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,137,-0.4,-14.3
Justin Wright-Foreman,2011-04-05,23-320,TOR,AWAY,NYK,L (-13),0,15:27,.500,.500,13.8,0.0,7.8,8.0,3.2,0.0,20.0,13.1,109,133,3.7,-1.4
Justin Wright-Foreman,2011-04-06,23-321,TOR,HOME,CLE,L (-8),0,4:30,,,0.0,0.0,0.0,30.5,0.0,0.0,,0.0,214,121,0.3,-3.2
Justin Wright-Foreman,2011-04-08,23-323,TOR,AWAY,PHI,L (-5),0,25:52,1.000,1.000,0.0,10.0,5.2,23.1,2.0,2.9,66.7,5.5,93,106,4.0,1.1
Justin Wright-Foreman,2011-04-10,23-325,TOR,HOME,NJN,W (+7),0,25:06,.635,.714,0.0,16.6,10.1,19.5,0.0,0.0,11.3,16.0,125,109,7.4,0.2
Justin Wright-Foreman,2011-04-11,23-326,TOR,AWAY,MIL,L (-7),0,25:02,.387,.333,0.0,8.9,4.0,6.8,0.0,0.0,20.5,8.2,74,107,0.4,-7.5
Justin Wright-Foreman,2011-04-13,23-328,TOR,HOME,MIA,L (-18),0,18:11,.600,.600,0.0,22.0,10.8,0.0,0.0,0.0,16.7,16.5,94,119,3.6,-6.4
Justin Wright-Foreman,2008-11-01,21-165,NOH,HOME,CLE,W (+12),0,3:52,.000,.000,0.0,0.0,0.0,0.0,13.6,0.0,0.0,12.1,0,80,0.3,-0.2
Justin Wright-Foreman,2008-11-08,21-172,NOH,HOME,MIA,W (+11),0,8:52,.250,.250,13.2,26.4,19.8,18.9,0.0,0.0,20.0,27.4,66,108,0.2,-15.2
Justin Wright-Foreman,2008-11-12,21-176,NOH,HOME,LAL,L (-7),0,2:30,,,0.0,43.6,23.1,0.0,0.0,0.0,,0.0,0,99,-0.1,-8.0
Justin Wright-Foreman,2008-11-14,21-178,NOH,HOME,POR,W (+5),0,12:02,.400,.400,9.5,11.1,10.2,18.1,0.0,0.0,16.7,26.4,84,111,2.0,-5.5
Justin Wright-Foreman,2008-11-15,21-179,NOH,AWAY,HOU,L (-9),0,16:09,.500,.500,7.1,8.7,7.8,23.7,3.7,0.0,0.0,12.8,124,112,5.0,5.6
Justin Wright-Foreman,2008-11-19,21-183,NOH,HOME,SAC,L (-9),0,12:24,.500,.500,0.0,12.1,5.9,13.6,4.6,0.0,14.3,27.5,96,121,3.6,-5.0
Justin Wright-Foreman,2008-11-21,21-185,NOH,AWAY,OKC,W (+25),0,19:17,.500,.500,0.0,18.2,9.0,23.0,7.6,0.0,25.0,19.0,85,72,7.0,6.1
Justin Wright-Foreman,2008-11-22,21-186,NOH,HOME,OKC,W (+12),0,11:04,.500,.500,14.5,12.8,13.6,12.2,0.0,7.2,33.3,13.5,96,112,1.6,-4.2
Justin Wright-Foreman,2008-11-24,21-188,NOH,AWAY,LAC,W (+12),0,12:14,.800,.800,11.5,7.7,9.2,0.0,0.0,0.0,16.7,22.8,126,102,5.7,4.5
Justin Wright-Foreman,2008-11-27,21-191,NOH,AWAY,DEN,W (+4),0,4:58,,,0.0,29.3,13.8,0.0,0.0,0.0,100.0,9.6,0,117,-0.7,-14.3
Justin Wright-Foreman,2008-11-28,21-192,NOH,AWAY,POR,L (-15),0,8:45,.727,.667,0.0,16.6,7.8,45.7,0.0,0.0,0.0,20.2,163,126,5.4,17.3
Justin Wright-Foreman,2008-12-06,21-200,NOH,HOME,MEM,W (+19),0,9:41,.000,.000,0.0,0.0,0.0,26.1,0.0,0.0,50.0,10.6,56,106,-1.5,-11.9
